Author,Year,User Rating,Reviews,Name,Price,Genre
Dr. Steven R Gundry MD,2018,4.4,7058,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",17.0,Non Fiction
Dr. Steven R Gundry MD,2018,4.5,3601,"The Plant Paradox Cookbook: 100 Delicious Recipes to Help You Lose Weight, Heal Your Gut, and Live Lectin-Free",18.0,Non Fiction
Drew Daywalt,2013,4.8,8922,The Day the Crayons Quit,9.0,Fiction
Drew Daywalt,2014,4.8,8922,The Day the Crayons Quit,9.0,Fiction
Drew Daywalt,2015,4.8,8922,The Day the Crayons Quit,9.0,Fiction
E L James,2012,3.8,47265,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),14.0,Fiction
E L James,2012,4.4,23631,Fifty Shades Darker,7.0,Fiction
E L James,2012,4.5,13964,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),32.0,Fiction
E L James,2012,4.5,20262,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),11.0,Fiction
E L James,2013,3.8,47265,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),14.0,Fiction
E L James,2015,4.4,25624,Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series),14.0,Fiction
Eben Alexander,2012,4.3,13616,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,10.0,Non Fiction
Eben Alexander,2013,4.3,13616,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,10.0,Non Fiction
Edward Klein,2012,4.6,2580,The Amateur,9.0,Non Fiction
Edward M. Kennedy,2009,4.5,438,True Compass: A Memoir,15.0,Non Fiction
Elie Wiesel,2016,4.7,5178,Night (Night),9.0,Non Fiction
Elizabeth Strout,2009,4.2,4519,Olive Kitteridge,12.0,Fiction
Emily Winfield Martin,2016,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
Emily Winfield Martin,2017,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
Emily Winfield Martin,2018,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
Emily Winfield Martin,2019,4.9,8842,The Wonderful Things You Will Be,10.0,Fiction
Eric Carle,2013,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2014,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2015,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2016,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2017,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2018,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Carle,2019,4.9,19546,The Very Hungry Caterpillar,5.0,Fiction
Eric Larson,2011,4.4,4571,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",21.0,Non Fiction
Ernest Cline,2017,4.6,22536,Ready Player One: A Novel,12.0,Fiction
Ernest Cline,2018,4.6,22536,Ready Player One: A Novel,12.0,Fiction
F. A. Hayek,2010,4.6,1204,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",14.0,Non Fiction
F. Scott Fitzgerald,2012,4.4,11616,The Great Gatsby,7.0,Fiction
F. Scott Fitzgerald,2013,4.4,11616,The Great Gatsby,7.0,Fiction
F. Scott Fitzgerald,2014,4.4,11616,The Great Gatsby,7.0,Fiction
Francis Chan,2009,4.7,1542,Crazy Love: Overwhelmed by a Relentless God,14.0,Non Fiction
Francis Chan,2010,4.7,1542,Crazy Love: Overwhelmed by a Relentless God,14.0,Non Fiction
Francis Chan,2011,4.7,1542,Crazy Love: Overwhelmed by a Relentless God,14.0,Non Fiction
Fredrik Backman,2016,4.6,23848,A Man Called Ove: A Novel,8.0,Fiction
Fredrik Backman,2017,4.6,23848,A Man Called Ove: A Novel,8.0,Fiction
Gallup,2009,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2010,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2011,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2012,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2013,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2014,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2015,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2016,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Gallup,2017,4.0,5069,StrengthsFinder 2.0,17.0,Non Fiction
Garth Stein,2010,4.7,11813,The Art of Racing in the Rain: A Novel,10.0,Fiction
Garth Stein,2011,4.7,11813,The Art of Racing in the Rain: A Novel,10.0,Fiction
Gary Chapman,2009,4.6,803,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,9.0,Non Fiction
Gary Chapman,2010,4.7,3477,The 5 Love Languages: The Secret to Love That Lasts,28.0,Non Fiction
Gary Chapman,2011,4.7,3477,The 5 Love Languages: The Secret to Love That Lasts,28.0,Non Fiction
Gary Chapman,2012,4.7,3477,The 5 Love Languages: The Secret to Love That Lasts,28.0,Non Fiction
Gary Chapman,2013,4.7,3477,The 5 Love Languages: The Secret to Love That Lasts,28.0,Non Fiction
Gary Chapman,2014,4.7,3477,The 5 Love Languages: The Secret to Love That Lasts,28.0,Non Fiction
Gary Chapman,2015,4.8,25554,The 5 Love Languages: The Secret to Love that Lasts,8.0,Non Fiction
Gary Chapman,2016,4.8,25554,The 5 Love Languages: The Secret to Love that Lasts,8.0,Non Fiction
Gary Chapman,2017,4.8,25554,The 5 Love Languages: The Secret to Love that Lasts,8.0,Non Fiction
Gary Chapman,2018,4.8,25554,The 5 Love Languages: The Secret to Love that Lasts,8.0,Non Fiction
Gary Chapman,2019,4.8,25554,The 5 Love Languages: The Secret to Love that Lasts,8.0,Non Fiction
Gayle Forman,2014,4.3,7153,If I Stay,9.0,Fiction
Geneen Roth,2010,4.2,1302,Women Food and God: An Unexpected Path to Almost Everything,11.0,Non Fiction
George Orwell,2017,4.7,21424,1984 (Signet Classics),6.0,Fiction
George R. R. Martin,2011,4.4,12643,A Dance with Dragons (A Song of Ice and Fire),11.0,Fiction
George R. R. Martin,2014,4.7,19735,A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,30.0,Fiction
George R.R. Martin,2011,4.6,5594,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,5.0,Fiction
George R.R. Martin,2012,4.6,5594,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,5.0,Fiction
George R.R. Martin,2013,4.6,5594,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,5.0,Fiction
George W. Bush,2010,4.6,2137,Decision Points,17.0,Non Fiction
Giles Andreae,2015,4.8,14038,Giraffes Can't Dance,4.0,Fiction
Giles Andreae,2016,4.8,14038,Giraffes Can't Dance,4.0,Fiction
Giles Andreae,2017,4.8,14038,Giraffes Can't Dance,4.0,Fiction
Giles Andreae,2018,4.8,14038,Giraffes Can't Dance,4.0,Fiction
Giles Andreae,2019,4.8,14038,Giraffes Can't Dance,4.0,Fiction
Gillian Flynn,2012,4.0,57271,Gone Girl,10.0,Fiction
Gillian Flynn,2013,4.0,57271,Gone Girl,10.0,Fiction
Gillian Flynn,2014,4.0,57271,Gone Girl,9.0,Fiction
